,Latitude,Longitude,Neighbourhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,48.0827,11.4588,3,8,Supermarket,Drugstore,Forest,Italian Restaurant,Miscellaneous Shop,ATM,Opera House,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
1,48.0827,11.4737,4,28,Bakery,Market,Hotel,Pool,Pharmacy,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
2,48.0827,11.4886,5,18,Italian Restaurant,Ice Cream Shop,Tennis Court,Bakery,Ramen Restaurant,Gas Station,Food & Drink Shop,BBQ Joint,Pizza Place,Drugstore
3,48.0827,11.503499999999999,6,0,BBQ Joint,Bus Stop,Bakery,Gas Station,Pool,Drugstore,Fast Food Restaurant,Organic Grocery,Skate Park,Soccer Field
4,48.0827,11.5184,7,26,Movie Theater,Bus Stop,Pastry Shop,Light Rail Station,Trail,Farmers Market,German Restaurant,Supermarket,Deli / Bodega,Italian Restaurant
5,48.0827,11.5333,8,30,Bus Stop,German Restaurant,Ice Cream Shop,Asian Restaurant,Farmers Market,Boat Rental,Bank,Bakery,Lake,Movie Theater
6,48.0827,11.5482,9,30,German Restaurant,Tram Station,Boat Rental,Lake,Trattoria/Osteria,Bus Stop,Lottery Retailer,Food & Drink Shop,Nightclub,Outlet Store
7,48.0827,11.5631,10,25,German Restaurant,Bus Stop,Moving Target,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
8,48.0827,11.578,11,17,Athletics & Sports,ATM,Pastry Shop,Paper / Office Supplies Store,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
9,48.0827,11.5929,12,27,Intersection,Modern European Restaurant,Gas Station,ATM,Office,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
10,48.0827,11.607800000000001,13,3,Harbor / Marina,Bakery,Gym,Gas Station,Light Rail Station,Greek Restaurant,Supermarket,Asian Restaurant,Optical Shop,Outlet Store
11,48.0827,11.6227,14,8,Supermarket,Indian Restaurant,Food & Drink Shop,Café,Lottery Retailer,Optical Shop,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store
12,48.0827,11.6376,15,27,Coffee Shop,German Restaurant,Snack Place,Trail,Pharmacy,Restaurant,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
13,48.0827,11.6525,16,28,Greek Restaurant,Bus Stop,Hotel,Athletics & Sports,Park,Restaurant,Lottery Retailer,Nightclub,Noodle House,Paper / Office Supplies Store
14,48.0827,11.6674,17,0,Bus Stop,Forest,Building,Soccer Field,Construction & Landscaping,Hotel,Liquor Store,Greek Restaurant,Supermarket,Beer Garden
15,48.0827,11.6823,18,25,Bus Stop,Forest,Greek Restaurant,ATM,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
16,48.0827,11.6972,19,8,Supermarket,Motorcycle Shop,Pet Store,Bus Stop,ATM,Opera House,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
17,48.090057894736844,11.4141,20,8,Supermarket,Pastry Shop,Pharmacy,German Restaurant,ATM,Office,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
18,48.090057894736844,11.4439,22,13,Entertainment Service,ATM,Opera House,Palace,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery,Optical Shop
19,48.090057894736844,11.4588,23,26,Italian Restaurant,Drugstore,Supermarket,Pizza Place,Forest,Chinese Restaurant,Café,Kebab Restaurant,Organic Grocery,Palace
20,48.090057894736844,11.4737,24,18,Kebab Restaurant,Bus Stop,Sports Club,Café,Pool,Hotel,Chinese Restaurant,Plaza,Farmers Market,Pizza Place
21,48.090057894736844,11.4886,25,3,Bus Stop,Gas Station,Farmers Market,Bakery,Supermarket,German Restaurant,Pharmacy,Drugstore,Castle,Pizza Place
22,48.090057894736844,11.503499999999999,26,3,Supermarket,Gym / Fitness Center,Bus Stop,Bakery,Asian Restaurant,Furniture / Home Store,Fast Food Restaurant,Martial Arts School,Lounge,Modern European Restaurant
23,48.090057894736844,11.5184,27,28,Bus Stop,Hotel,Doner Restaurant,Greek Restaurant,Supermarket,Drugstore,Trail,Café,Restaurant,Trattoria/Osteria
24,48.090057894736844,11.5333,28,8,Supermarket,German Restaurant,Tennis Court,Gym,Light Rail Station,Drugstore,Bus Stop,Café,Optical Shop,Outdoors & Recreation
25,48.090057894736844,11.5482,29,27,Zoo Exhibit,German Restaurant,Beer Garden,Tram Station,Playground,Campground,Surf Spot,Golf Course,Trail,Trattoria/Osteria
26,48.090057894736844,11.5631,30,26,Supermarket,Plaza,Tram Station,Bus Stop,Italian Restaurant,German Restaurant,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture,Organic Grocery
27,48.090057894736844,11.578,31,19,Bus Stop,Plaza,Supermarket,Metro Station,Athletics & Sports,ATM,Outlet Store,Outdoors & Recreation,Outdoor Supply Store,Outdoor Sculpture
28,48.090057894736844,11.5929,32,27,Movie Theater,Shipping Store,Gym,Fast Food Restaurant,Music Venue,Nature Preserve,Outlet Store,Outdoors & Recreation,Music School,Music Store
29,48.090057894736844,11.607800000000001,33,28,Ice Cream Shop,Plaza,Bakery,Light Rail Station,Greek Restaurant,Shipping Store,Trattoria/Osteria,Supermarket,Hotel,Newsstand
