zipcode,Neighbourhood,latitude,longitude
80331,Altstadt-Lehel,48.1345,11.571
80333,Altstadt-Lehel,48.1452,11.5668
80333,Maxvorstadt,48.1452,11.5668
80335,Altstadt-Lehel,48.1427,11.5552
80335,Ludwigsvorstadt-Isarvorstadt,48.1427,11.5552
80335,Maxvorstadt,48.1427,11.5552
80335,Schwanthalerhöhe,48.1427,11.5552
80336,Altstadt-Lehel,48.1345,11.559
80336,Ludwigsvorstadt-Isarvorstadt,48.1345,11.559
80336,Sendling,48.1345,11.559
80337,Ludwigsvorstadt-Isarvorstadt,48.1224,11.5449
80337,Sendling,48.1224,11.5449
80339,Schwanthalerhöhe,48.1388,11.5341
80469,Altstadt-Lehel,48.1299,11.5732
80469,Ludwigsvorstadt-Isarvorstadt,48.1299,11.5732
80469,Sendling,48.1299,11.5732
80538,Altstadt-Lehel,48.1401,11.5885
80538,Schwabing-Freimann,48.1401,11.5885
80539,Altstadt-Lehel,48.15,11.5833
80539,Maxvorstadt,48.15,11.5833
80634,Neuhausen-Nymphenburg,48.1492,11.5328
80636,Maxvorstadt,48.1558,11.5409
80636,Neuhausen-Nymphenburg,48.1558,11.5409
80637,Moosach,48.1725,11.5284
80637,Neuhausen-Nymphenburg,48.1725,11.5284
80638,Moosach,48.1595,11.4932
80638,Neuhausen-Nymphenburg,48.1595,11.4932
80639,Neuhausen-Nymphenburg,48.1526,11.5154
80686,Laim,48.138,11.507
80686,Sendling-Westpark,48.138,11.507
80687,Laim,48.1414,11.502
80687,Pasing-Obermenzing,48.1414,11.502
80689,Hadern,48.1291,11.4895
80689,Laim,48.1291,11.4895
80689,Pasing-Obermenzing,48.1291,11.4895
80796,Schwabing-West,48.15,11.5833
80797,Maxvorstadt,48.1611,11.5586
80797,Schwabing-West,48.1611,11.5586
80798,Maxvorstadt,48.15,11.5833
80798,Schwabing-West,48.15,11.5833
80799,Maxvorstadt,48.15,11.5833
80799,Schwabing-West,48.15,11.5833
80801,Maxvorstadt,48.15,11.5833
80801,Schwabing-Freimann,48.15,11.5833
80801,Schwabing-West,48.15,11.5833
80802,Maxvorstadt,48.1665,11.5903
80802,Schwabing-Freimann,48.1665,11.5903
80803,Schwabing-Freimann,48.15,11.5833
80803,Schwabing-West,48.15,11.5833
80804,Schwabing-Freimann,48.1738,11.5858
80804,Schwabing-West,48.1738,11.5858
80805,Schwabing-Freimann,48.1725,11.5964
80807,Milbertshofen-Am Hart,48.1827,11.5759
80807,Schwabing-Freimann,48.1827,11.5759
80809,Milbertshofen-Am Hart,48.1787,11.5617
80809,Schwabing-West,48.1787,11.5617
80933,Feldmoching-Hasenbergl,48.2225,11.548
80935,Feldmoching-Hasenbergl,48.2043,11.5585
80937,Milbertshofen-Am Hart,48.1974,11.5721
80939,Milbertshofen-Am Hart,48.2054,11.6238
80939,Schwabing-Freimann,48.2054,11.6238
80992,Moosach,48.1776,11.5169
80993,Moosach,48.1823,11.5331
80995,Allach-Untermenzing,48.1976,11.5181
80995,Feldmoching-Hasenbergl,48.1976,11.5181
80997,Allach-Untermenzing,48.1834,11.4784
80997,Moosach,48.1834,11.4784
80999,Allach-Untermenzing,48.1853,11.4643
81241,Pasing-Obermenzing,48.1475,11.4635
81243,Aubing-Lochhausen-Langwied,48.1465,11.4506
81243,Pasing-Obermenzing,48.1465,11.4506
81245,Aubing-Lochhausen-Langwied,48.1616,11.4141
81245,Pasing-Obermenzing,48.1616,11.4141
81247,Allach-Untermenzing,48.1662,11.4673
81247,Pasing-Obermenzing,48.1662,11.4673
81249,Allach-Untermenzing,48.15,11.5833
81249,Aubing-Lochhausen-Langwied,48.15,11.5833
81369,Sendling,48.1125,11.5306
81369,Sendling-Westpark,48.1125,11.5306
81371,Sendling,48.1167,11.5478
81373,Sendling,48.1171,11.5393
81373,Sendling-Westpark,48.1171,11.5393
81375,Hadern,48.1188,11.4917
81377,Hadern,48.1204,11.5001
81377,Sendling-Westpark,48.1204,11.5001
81379,Sendling,48.0988,11.5204
81379,Sendling-Westpark,48.0988,11.5204
81379,Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,48.0988,11.5204
81475,Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,48.15,11.5833
81476,Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,48.0844,11.4923
81477,Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,48.0834,11.5036
81479,Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,48.0915,11.5392
81539,Obergiesing,48.1102,11.5899
